timestamp,license_plate,confidence,vehicle_type,track_id,violations,signal
1775467685.8107882,GXIS0GJ,0.43,vehicle,0,Wrong Lane,GREEN
1775467686.7008278,GXIS0GJ,0.45,vehicle,0,Wrong Lane,GREEN
1775467687.060601,GXIS0CJ,0.27,vehicle,0,Wrong Lane,GREEN
1775467700.7280908,AP05JEO,0.56,vehicle,1,Red Light Jump,RED
1775467700.927377,APO5JEO,0.21,vehicle,1,Red Light Jump,RED
1775467702.2477372,APO5JEO,0.22,vehicle,1,Red Light Jump,RED
1775467702.4447832,ZP05JEO,0.28,vehicle,1,Red Light Jump,RED
1775467703.843074,KH052ZK,0.22,vehicle,0,Wrong Lane;Red Light Jump,RED
1775467704.29601,KH0522K1,0.22,vehicle,0,Wrong Lane;Red Light Jump,RED
1775467704.29601,APO5JBO,0.24,vehicle,1,Red Light Jump,RED
1775467704.535887,KH0527K,0.24,vehicle,0,Wrong Lane;Red Light Jump,RED
1775467704.77487,KHOS27K,0.30,vehicle,0,Wrong Lane;Red Light Jump,RED
1775467704.975144,APO5JEO,0.22,vehicle,1,Red Light Jump,RED
1775467706.3463628,KHO5ZZK,0.43,vehicle,0,Wrong Lane,GREEN
1775467706.55107,KHO52ZK,0.32,vehicle,0,Wrong Lane,GREEN
1775467707.094833,KHO5ZZK,0.35,vehicle,0,Wrong Lane,GREEN
1775467708.199554,L40527K,0.24,vehicle,0,Wrong Lane,GREEN
